english	current_chinese	pos	suggested_class	risk_reason	note
Anisotropy Parameters	Anisotropy Parameters	section-title	context-ui-label	contains-common-prose-word	-
Barn Door Light Filter	Barn Door Light Filter	section-title	context-ui-label	contains-common-prose-word	-
Base Layer	Base Layer	section-title	context-ui-label	contains-common-prose-word	-
Basic Workflows	Basic Workflows	section-title	context-ui-label	contains-common-prose-word	-
Bump Output	Bump Output	section-title	context-ui-label	contains-common-prose-word	-
Camera Range Page	Camera Range Page	section-title	context-ui-label	contains-common-prose-word	-
Color Correct	Color Correct	section-title	context-ui-label	contains-common-prose-word	-
Cookie Light Filter	Cookie Light Filter	section-title	context-ui-label	contains-common-prose-word	-
Density Parameters	Density Parameters	section-title	context-ui-label	contains-common-prose-word	-
Diffuse Parameters	Diffuse Parameters	section-title	context-ui-label	contains-common-prose-word	-
Displacement Types	Displacement Types	section-title	context-ui-label	contains-common-prose-word	-
Geometric Light Types	Geometric Light Types	section-title	context-ui-label	contains-common-prose-word	-
Guidance for Writing Your Own Patterns	Guidance for Writing Your Own Patterns	section-title	context-ui-label	contains-common-prose-word	-
Hair and Fur Presets	Hair and Fur Presets	section-title	context-ui-label	contains-common-prose-word	-
Hatching Color Page	Hatching Color Page	section-title	context-ui-label	contains-common-prose-word	-
Hatching Textures Page	Hatching Textures Page	section-title	context-ui-label	contains-common-prose-word	-
Input Parameters	Input Parameters	section-title	context-ui-label	contains-common-prose-word	-
Input Parameters	Input Parameters	section-title	context-ui-label	contains-common-prose-word	-
Intensity Light Filter	Intensity Light Filter	section-title	context-ui-label	contains-common-prose-word	-
Light Profile	Light Profile	section-title	context-ui-label	contains-common-prose-word	-
Line Color Page	Line Color Page	section-title	context-ui-label	contains-common-prose-word	-
Line Detection Page	Line Detection Page	section-title	context-ui-label	contains-common-prose-word	-
Line Distort Page	Line Distort Page	section-title	context-ui-label	contains-common-prose-word	-
Line Thickness Page	Line Thickness Page	section-title	context-ui-label	contains-common-prose-word	-
Line Thickness Remap Page	Line Thickness Remap Page	section-title	context-ui-label	contains-common-prose-word	-
Lines Page	Lines Page	section-title	context-ui-label	contains-common-prose-word	-
Normal Maps Orientation	Normal Maps Orientation	section-title	context-ui-label	contains-common-prose-word	-
Object Visibility	Object Visibility	section-title	context-ui-label	contains-common-prose-word	-
Output Page	Output Page	section-title	context-ui-label	contains-common-prose-word	-
Output Parameters	Output Parameters	section-title	context-ui-label	contains-common-prose-word	-
Output Parameters	Output Parameters	section-title	context-ui-label	contains-common-prose-word	-
Output Range	Output Range	section-title	context-ui-label	contains-common-prose-word	-
Pattern Settings	Pattern Settings	section-title	context-ui-label	contains-common-prose-word	-
Portal Lights	Portal Lights	section-title	context-ui-label	contains-common-prose-word	-
Ramp Light Filter	Ramp Light Filter	section-title	context-ui-label	contains-common-prose-word	-
Rod Light Filter	Rod Light Filter	section-title	context-ui-label	contains-common-prose-word	-
Sample textures	Sample textures	section-title	context-ui-label	mostly-lowercase-phrase;contains-common-prose-word	-
Sampling Parameters	Sampling Parameters	section-title	context-ui-label	contains-common-prose-word	-
Specular Parameters	Specular Parameters	section-title	context-ui-label	contains-common-prose-word	-
Texture Input Parameters	Texture Input Parameters	section-title	context-ui-label	contains-common-prose-word	-
Texture Parameters	Texture Parameters	section-title	context-ui-label	contains-common-prose-word	-
Using MEL	Using MEL	section-title	context-ui-label	contains-common-prose-word	-
Using Meshlight	Using Meshlight	section-title	context-ui-label	contains-common-prose-word	-
Utility Light Types	Utility Light Types	section-title	context-ui-label	contains-common-prose-word	-
Velocity and Motion Blur	Velocity and Motion Blur	section-title	context-ui-label	contains-common-prose-word	-
Default variable	Default variable	table-header	context-ui-label	mostly-lowercase-phrase	-
Depends on	Depends on	table-header	context-ui-label	mostly-lowercase-phrase;contains-common-prose-word	-
Temperature Value	Temperature Value	table-header	context-ui-label	contains-common-prose-word	-
Use in path	Use in path	table-header	context-ui-label	mostly-lowercase-phrase;contains-common-prose-word	-
Lighting Subsets and Exclude	Lighting Subsets and Exclude	ui-attribute	context-ui-label	contains-common-prose-word	-
Default Ray Depth	Default Ray Depth	ui-section	context-ui-label	contains-common-prose-word	-
IPR Options	IPR Options	ui-section	context-ui-label	contains-common-prose-word	-
Layer Controls	Layer Controls	ui-section	context-ui-label	contains-common-prose-word	-
Render Stats	Render Stats	ui-section	context-ui-label	contains-common-prose-word	-
Update Mode	Update Mode	ui-setting	context-ui-label	contains-common-prose-word	-
per-light AOVs	per-light AOVs	aov	review-required	mostly-lowercase-phrase	-
color AOV	color AOV	aov-kind	review-required	mostly-lowercase-phrase;contains-common-prose-word	-
float AOV	float AOV	aov-kind	review-required	mostly-lowercase-phrase	-
RIS builtin	RIS builtin	api	review-required	mostly-lowercase-phrase	-
"Attribute ""identifier"" ""float id"""	"Attribute ""identifier"" ""float id"""	attribute	review-required	mostly-lowercase-phrase;contains-common-prose-word	-
"Attribute ""identifier"" ""string name"""	"Attribute ""identifier"" ""string name"""	attribute	review-required	mostly-lowercase-phrase;contains-common-prose-word	-
Instance Attributes	Instance Attributes	attribute-category	review-required	contains-common-prose-word	-
Prototype Attributes	Prototype Attributes	attribute-category	review-required	contains-common-prose-word	-
Color Burn	Color Burn	blend-mode	review-required	contains-common-prose-word	-
Color Dodge	Color Dodge	blend-mode	review-required	contains-common-prose-word	-
Darker Color	Darker Color	blend-mode	review-required	contains-common-prose-word	-
Hard Light	Hard Light	blend-mode	review-required	contains-common-prose-word	-
Lighter Color	Lighter Color	blend-mode	review-required	contains-common-prose-word	-
Linear Light	Linear Light	blend-mode	review-required	contains-common-prose-word	-
Pin Light	Pin Light	blend-mode	review-required	contains-common-prose-word	-
Soft Light	Soft Light	blend-mode	review-required	contains-common-prose-word	-
Vivid Light	Vivid Light	blend-mode	review-required	contains-common-prose-word	-
Renderman for Maya	Renderman for Maya	bridge-product-source-spelling	review-required	contains-common-prose-word	-
Field of View	Field of View	camera	review-required	contains-common-prose-word	-
The Shading Graph	The Shading Graph	caption	review-required	contains-common-prose-word	-
Using Light Source	Using Light Source	caption	review-required	contains-common-prose-word	-
Light Pink	Light Pink	color-name	review-required	contains-common-prose-word	-
RGB color space	RGB color space	color-space	review-required	mostly-lowercase-phrase;contains-common-prose-word	-
Scene Linear	Scene Linear	color-space	review-required	contains-common-prose-word	-
Photoshop blend modes	Photoshop blend modes	compositing	review-required	mostly-lowercase-phrase;contains-common-prose-word	-
Float data type	Float data type	data-type-phrase	review-required	mostly-lowercase-phrase;contains-common-prose-word	-
Material Builder	Material Builder	dcc-ui	review-required	contains-common-prose-word	-
Maya Attribute editor	Maya Attribute editor	dcc-ui	review-required	contains-common-prose-word	-
SG Node	SG Node	dcc-ui	review-required	contains-common-prose-word	-
Interpolate Depth and Height	Interpolate Depth and Height	enum	review-required	contains-common-prose-word	-
Object ID	Object ID	enum	review-required	contains-common-prose-word	-
Object Id	Object Id	enum	review-required	contains-common-prose-word	-
Object id	Object id	enum	review-required	mostly-lowercase-phrase;contains-common-prose-word	-
Object Name	Object Name	enum	review-required	contains-common-prose-word	-
Random Object Color	Random Object Color	enum	review-required	contains-common-prose-word	-
Classroom scene	Classroom scene	example-scene	review-required	mostly-lowercase-phrase;contains-common-prose-word	-
Gaussian falloff	Gaussian falloff	falloff	review-required	mostly-lowercase-phrase	-
The Irishman	The Irishman	film-title	review-required	contains-common-prose-word	-
Smart cubic	Smart cubic	filter-enum	review-required	mostly-lowercase-phrase	-
Display Filter	Display Filter	filter-type	review-required	contains-common-prose-word	-
Display Filters	Display Filters	filter-type	review-required	contains-common-prose-word	-
Schlick approximation	Schlick approximation	fresnel-model	review-required	mostly-lowercase-phrase	-
Reference or Rest pose	Reference or Rest pose	geometry-state	review-required	contains-common-prose-word	-
Rest pose	Rest pose	geometry-state	review-required	mostly-lowercase-phrase	-
Marschner specular	Marschner specular	hair-model	review-required	mostly-lowercase-phrase	-
Marschner specular model	Marschner specular model	hair-model	review-required	mostly-lowercase-phrase	-
Alpha channel	Alpha channel	image-channel	review-required	mostly-lowercase-phrase	-
Trace Light Paths	Trace Light Paths	light-option	review-required	contains-common-prose-word	-
Thin Shadows	Thin Shadows	light-parameter	review-required	contains-common-prose-word	-
Analytic Lights	Analytic Lights	lighting-category	review-required	contains-common-prose-word	-
Emissive Surfaces	Emissive Surfaces	lighting-category	review-required	contains-common-prose-word	-
Light Filter	Light Filter	lighting-section	review-required	contains-common-prose-word	-
Light Filters	Light Filters	lighting-section	review-required	contains-common-prose-word	-
Depth Of Field	Depth Of Field	link-title	review-required	contains-common-prose-word	-
light group LPEs	light group LPEs	lpe	review-required	mostly-lowercase-phrase;contains-common-prose-word	-
custom LPE	custom LPE	lpe-concept	review-required	mostly-lowercase-phrase	-
custom LPE expression	custom LPE expression	lpe-concept	review-required	mostly-lowercase-phrase	-
custom LPE name	custom LPE name	lpe-concept	review-required	mostly-lowercase-phrase	-
User lobe	User lobe	lpe-lobe	review-required	mostly-lowercase-phrase	-
User lobes	User lobes	lpe-lobe	review-required	mostly-lowercase-phrase	-
Base color	Base Color	map-type	review-required	mostly-lowercase-phrase;contains-common-prose-word	-
Physically Based Shading Nodes	Physically Based Shading Nodes	materialx-node-category	review-required	contains-common-prose-word	-
User Attributes	User Attributes	maya-ui	review-required	contains-common-prose-word	-
Artistic Mode	Artistic Mode	mode	review-required	contains-common-prose-word	-
Artistic mode	Artistic mode	mode	review-required	mostly-lowercase-phrase;contains-common-prose-word	-
HSV Light Dark	HSV Light Dark	mode	review-required	contains-common-prose-word	-
Light Signal Range	Light Signal Range	mode	review-required	contains-common-prose-word	-
Physical Fresnel mode	Physical Fresnel mode	mode	review-required	contains-common-prose-word	-
Physical Mode	Physical Mode	mode	review-required	contains-common-prose-word	-
Path-traced mode	Path-traced mode	mode-label	review-required	mostly-lowercase-phrase;contains-common-prose-word	-
Jensen and d'Eon Dipoles	Jensen and d'Eon Dipoles	model	review-required	contains-common-prose-word	-
Multiple Mean Free Paths	Multiple Mean Free Paths	model	review-required	contains-common-prose-word	-
Path Traced	Path Traced	model	review-required	contains-common-prose-word	-
Path Traced Modes	Path Traced Modes	model	review-required	contains-common-prose-word	-
Path-traced exponential	Path-traced exponential	model	review-required	mostly-lowercase-phrase	-
Canvas Node	Canvas Node	node	review-required	contains-common-prose-word	-
C++ Pattern	C++ Pattern	node-category	review-required	contains-common-prose-word	-
C++ Pattern node	C++ Pattern node	node-category	review-required	contains-common-prose-word	-
C++ Patterns	C++ Patterns	node-category	review-required	contains-common-prose-word	-
Pattern node	Pattern node	node-category	review-required	mostly-lowercase-phrase;contains-common-prose-word	-
Pattern nodes	Pattern nodes	node-category	review-required	mostly-lowercase-phrase;contains-common-prose-word	-
Worley noise	Worley noise	noise-function	review-required	mostly-lowercase-phrase	-
Gabor modes	Gabor modes	noise-mode	review-required	mostly-lowercase-phrase;contains-common-prose-word	-
Spline mode	Spline mode	noise-mode	review-required	mostly-lowercase-phrase;contains-common-prose-word	-
NG vector type	NG vector type	normal-gradient	review-required	mostly-lowercase-phrase;contains-common-prose-word	-
Camera Visibility	Camera Visibility	object-attribute	review-required	contains-common-prose-word	-
Checkpoint Start At	Checkpoint Start At	option-label	review-required	contains-common-prose-word	-
batched OSL	batched OSL	osl-execution-mode	review-required	mostly-lowercase-phrase	-
Connectable orientation	Connectable orientation	parameter-description	review-required	mostly-lowercase-phrase	-
Far Layer	Far Layer	parameter-group	review-required	contains-common-prose-word	-
Glass parameters	Glass parameters	parameter-group	review-required	mostly-lowercase-phrase;contains-common-prose-word	-
Mid Layer	Mid Layer	parameter-group	review-required	contains-common-prose-word	-
Near Layer	Near Layer	parameter-group	review-required	contains-common-prose-word	-
Texture Mapping	Texture Mapping	parameter-group	review-required	contains-common-prose-word	-
Trace Control Parameters	Trace Control Parameters	parameter-group	review-required	contains-common-prose-word	-
Color A and Color B	Color A and Color B	parameter-heading	review-required	contains-common-prose-word	-
Exit Color	Exit Color	parameter-label	review-required	contains-common-prose-word	-
Vertical resolution	Vertical resolution	parameter-source-case	review-required	mostly-lowercase-phrase	-
Secondary Anisotropy and Lobe Blend Factor	Secondary Anisotropy and Lobe Blend Factor	parameter-title	review-required	contains-common-prose-word	-
swap ST	swap ST	parameter-value	review-required	mostly-lowercase-phrase	-
Geometry Nodes	Geometry Nodes	pattern-category	review-required	contains-common-prose-word	-
Image Texture	Image Texture	pattern-category	review-required	contains-common-prose-word	-
Procedural Texture	Procedural Texture	pattern-category	review-required	contains-common-prose-word	-
ST primvar	ST primvar	primvar	review-required	mostly-lowercase-phrase	-
Toon banding	Toon banding	render-artifact	review-required	mostly-lowercase-phrase	-
beauty EXR	beauty EXR	render-output	review-required	mostly-lowercase-phrase	-
"Attribute ""volume"" ""fps"""	"Attribute ""volume"" ""fps"""	rib-attribute	review-required	mostly-lowercase-phrase;contains-common-prose-word	-
Displace shader	Displace shader	shader	review-required	mostly-lowercase-phrase	-
Displace shaders	Displace shaders	shader	review-required	mostly-lowercase-phrase	-
result F	result F	shader-output	review-required	mostly-lowercase-phrase	-
result RGB	result RGB	shader-output	review-required	mostly-lowercase-phrase	-
Ou Color G	Ou Color G	shader-output-source-typo	review-required	contains-common-prose-word	-
Material X Lama	MaterialX Lama	source-variant	review-required	contains-common-prose-word	-
Materials X Lama	MaterialX Lama	source-variant	review-required	contains-common-prose-word	-
Object space	Object space	space	review-required	mostly-lowercase-phrase;contains-common-prose-word	-
Darks Color	Darks Color	step-mode	review-required	contains-common-prose-word	-
Light To Albedo	Light To Albedo	step-mode	review-required	contains-common-prose-word	-
Industrial Light & Magic	Industrial Light & Magic	studio	review-required	contains-common-prose-word	-
Industrial Light & Magic	Industrial Light & Magic	studio	review-required	contains-common-prose-word	-
Pivot Value	Pivot Value	table-heading	review-required	contains-common-prose-word	-
BG texture	BG texture	texture	review-required	mostly-lowercase-phrase;contains-common-prose-word	-
Texture atlas	Texture atlas	texture-format	review-required	mostly-lowercase-phrase;contains-common-prose-word	-
Bump Roughness Map	Bump Roughness Map	texture-map	review-required	contains-common-prose-word	-
PBR Metalness map	PBR Metalness map	texture-map	review-required	contains-common-prose-word	-
PBR Roughness map	PBR Roughness map	texture-map	review-required	contains-common-prose-word	-
RTX procedural texture plugins	RTX procedural texture plugins	texture-plugin	review-required	mostly-lowercase-phrase;contains-common-prose-word	-
UDIM tiles	UDIM tiles	texture-tiles	review-required	mostly-lowercase-phrase	-
Project a label	Project a label	tip-title	review-required	mostly-lowercase-phrase;contains-common-prose-word	-
Texture Manager	Texture Manager	tool	review-required	contains-common-prose-word	-
Bump To Roughness	Bump To Roughness	txmake-feature	review-required	contains-common-prose-word	-
Maya Attribute Editor	Maya Attribute Editor	ui	review-required	contains-common-prose-word	-
Visibility for camera	Visibility for camera	ui	review-required	mostly-lowercase-phrase;contains-common-prose-word	-
"""Raw Data"""	"""Raw Data"""	ui-label	review-required	contains-common-prose-word	-
Enable Stylized Looks	Enable Stylized Looks	ui-label	review-required	contains-common-prose-word	-
Visible in Reflections	Visible in Reflections	ui-parameter	review-required	contains-common-prose-word	-
Volume Scattering Approximation	Volume Scattering Approximation	ui-parameter-group	review-required	contains-common-prose-word	-
Legacy Mode	Legacy Mode	ui-value	review-required	contains-common-prose-word	-
Shader and shadow color	Shader and shadow color	ui-value	review-required	mostly-lowercase-phrase;contains-common-prose-word	-
Shadow color only	Shadow color only	ui-value	review-required	mostly-lowercase-phrase;contains-common-prose-word	-
Use Direction	Use Direction	ui-value	review-required	contains-common-prose-word	-
Final Lines	Final Lines	visualizer-mode	review-required	contains-common-prose-word	-
Final Lines Alpha	Final Lines Alpha	visualizer-mode	review-required	contains-common-prose-word	-
Final Lines Comp	Final Lines Comp	visualizer-mode	review-required	contains-common-prose-word	-
Final Lines Invert	Final Lines Invert	visualizer-mode	review-required	contains-common-prose-word	-
Line Thickness from Lighting	Line Thickness from Lighting	visualizer-mode	review-required	contains-common-prose-word	-
Toon Final with Spec	Toon Final with Spec	visualizer-mode	review-required	contains-common-prose-word	-
Triplanar Test Colors	Triplanar Test Colors	visualizer-mode	review-required	contains-common-prose-word	-
Constant fog	Constant fog	workflow-title	review-required	mostly-lowercase-phrase	-
dicing projection	dicing projection	attribute	translate-or-bilingual	mostly-lowercase-phrase	-
intersection priority	intersection priority	attribute	translate-or-bilingual	mostly-lowercase-phrase	-
string name	string name	attribute-declaration	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
cool colors	cool colors	color-temperature	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
warm colors	warm colors	color-temperature	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
shader object files	shader object files	compiled-shader	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
rendermn.ini	rendermn.ini	config-file	translate-or-bilingual	mostly-lowercase-phrase	-
stats.ini	stats.ini	config-file	translate-or-bilingual	mostly-lowercase-phrase	-
current space	current space	coordinate-system	translate-or-bilingual	mostly-lowercase-phrase	-
object space	object space	coordinate-system	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
tangent space	tangent space	coordinate-system	translate-or-bilingual	mostly-lowercase-phrase	-
world space	world space	coordinate-system	translate-or-bilingual	mostly-lowercase-phrase	-
attribute namespace	attribute namespace	dcc-attribute	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
rest position	rest position	dcc-attribute	translate-or-bilingual	mostly-lowercase-phrase	-
user attribute	user attribute	dcc-attribute	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
user attributes	user attributes	dcc-attribute	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
transform node	transform node	dcc-node	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
int id	int id	display-channel	translate-or-bilingual	mostly-lowercase-phrase	-
texture.tex	texture.tex	filename	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
foo.format	foo.format	filename-placeholder	translate-or-bilingual	mostly-lowercase-phrase	-
foo.tex	foo.tex	filename-placeholder	translate-or-bilingual	mostly-lowercase-phrase	-
box filter	box filter	filter-enum	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
display filters	display filters	filter-type	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
bilinear patch	bilinear patch	geometry	translate-or-bilingual	mostly-lowercase-phrase	-
ultraman-docs.webp	ultraman-docs.webp	image-asset	translate-or-bilingual	mostly-lowercase-phrase	-
alpha channel	alpha channel	image-channel	translate-or-bilingual	mostly-lowercase-phrase	-
production integrators	production integrators	integrator	translate-or-bilingual	mostly-lowercase-phrase	-
fresnel blend	Fresnel Blend	layer-mode	translate-or-bilingual	mostly-lowercase-phrase	-
rough coating	Rough Coating	layer-mode	translate-or-bilingual	mostly-lowercase-phrase	-
smooth coating	Smooth Coating	layer-mode	translate-or-bilingual	mostly-lowercase-phrase	-
layer mask	layer mask	layering	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
portal lighting	portal lighting	lighting	translate-or-bilingual	mostly-lowercase-phrase	-
emission token	emission token	lpe	translate-or-bilingual	mostly-lowercase-phrase	-
noclamp;prefix	noclamp;prefix	lpe-prefix	translate-or-bilingual	mostly-lowercase-phrase	-
cut out	cut out	masking	translate-or-bilingual	mostly-lowercase-phrase	-
attribute editor	attribute editor	maya-ui	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
channel box	channel box	maya-ui	translate-or-bilingual	mostly-lowercase-phrase	-
pass-through node	pass-through node	node	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
pattern nodes	pattern nodes	node-category	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
texture nodes	texture nodes	node-category	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
shading network	shading network	node-graph	translate-or-bilingual	mostly-lowercase-phrase	-
normal map color	normal map color	normal-map	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
config.ocio	config.ocio	ocio-config-file	translate-or-bilingual	mostly-lowercase-phrase	-
int maxsamples	int maxsamples	option-declaration	translate-or-bilingual	mostly-lowercase-phrase	-
material closure	material closure	osl-concept	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
material closures	material closures	osl-concept	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
shader global	shader global	osl-concept	translate-or-bilingual	mostly-lowercase-phrase	-
filter type	filter type	osl-type	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
int wireframe	int wireframe	parameter-declaration	translate-or-bilingual	mostly-lowercase-phrase	-
string style	string style	parameter-declaration	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
normal pattern	normal pattern	pattern	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
procedural noise	procedural noise	pattern	translate-or-bilingual	mostly-lowercase-phrase	-
bump nodes	bump nodes	pattern-node	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
shader ball	shader ball	preview	translate-or-bilingual	mostly-lowercase-phrase	-
constant string primvar	constant string primvar	primvar	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
texture primvars	texture primvars	primvar	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
trace groups	trace groups	ray-tracing-set	translate-or-bilingual	mostly-lowercase-phrase	-
camera rays	camera rays	ray-type	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
indirect rays	indirect rays	ray-type	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
camera visibility	camera visibility	render-attribute	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
indirect visibility	indirect visibility	render-attribute	translate-or-bilingual	mostly-lowercase-phrase	-
shadow visibility	shadow visibility	render-attribute	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
transmission visibility	transmission visibility	render-attribute	translate-or-bilingual	mostly-lowercase-phrase	-
display channels	display channels	render-output	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
raytrace hider	raytrace hider	renderer-component	translate-or-bilingual	mostly-lowercase-phrase	-
indirect bounces	indirect bounces	rendering	translate-or-bilingual	mostly-lowercase-phrase	-
ray subsets	ray subsets	rendering	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
trace memberships	trace memberships	rendering	translate-or-bilingual	mostly-lowercase-phrase	-
trace sets	trace sets	rendering	translate-or-bilingual	mostly-lowercase-phrase	-
display line	display line	rib-command	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
global setting	global setting	setting-label	translate-or-bilingual	mostly-lowercase-phrase	-
displacement shader	displacement shader	shader	translate-or-bilingual	mostly-lowercase-phrase	-
xml properties	xml properties	shader-binding	translate-or-bilingual	mostly-lowercase-phrase	-
generic “shader” shader type	generic “shader” shader type	shader-type	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
incandescence color	incandescence color	shading	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
scatter transmission	scatter transmission	shading	translate-or-bilingual	mostly-lowercase-phrase	-
minmax shadow map	minmax shadow map	shadow-map	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
pyramid shadow map	pyramid shadow map	shadow-map	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
object space	object space	space	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
random id	random id	stylized-lines	translate-or-bilingual	mostly-lowercase-phrase	-
atlas textures	atlas textures	texture	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
texture manifold	texture manifold	texture	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
wrap mode	wrap mode	texture-conversion	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
s,t	s,t	texture-coordinate-domain	translate-or-bilingual	mostly-lowercase-phrase	-
bridge tools	bridge tools	tooling	translate-or-bilingual	mostly-lowercase-phrase	-
-resize up	-resize up	txmake-option	translate-or-bilingual	mostly-lowercase-phrase	-
constant float	constant float	type	translate-or-bilingual	mostly-lowercase-phrase	-
varying float	varying float	type	translate-or-bilingual	mostly-lowercase-phrase	-
light visibility settings	light visibility settings	ui	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
raster-oriented dicing	raster-oriented dicing	ui-option	translate-or-bilingual	mostly-lowercase-phrase	-
scene units	scene units	unit	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
openvdb.org	openvdb.org	url	translate-or-bilingual	mostly-lowercase-phrase	-
www.amaanakram.com	www.amaanakram.com	url	translate-or-bilingual	mostly-lowercase-phrase	-
manifold utility	manifold utility	utility-node	translate-or-bilingual	mostly-lowercase-phrase	-
atlas texture workflows	atlas texture workflows	workflow	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
baking workflow	baking workflow	workflow	translate-or-bilingual	mostly-lowercase-phrase;contains-common-prose-word	-
